eval/loss,condition,condition_idx
2.44378781318664,"use_ffn_after_attn=0, use_std_residual=1",1
2.58256006240844,"use_ffn_after_attn=0, use_std_residual=1",1
2.63724255561828,"use_ffn_after_attn=0, use_std_residual=1",1
2.63724255561828,"use_ffn_after_attn=0, use_std_residual=1",1
2.65901112556457,"use_ffn_after_attn=0, use_std_residual=1",1
2.66898441314697,"use_ffn_after_attn=0, use_std_residual=1",1
2.68884205818176,"use_ffn_after_attn=0, use_std_residual=1",1
2.73682284355163,"use_ffn_after_attn=0, use_std_residual=1",1
2.73682284355163,"use_ffn_after_attn=0, use_std_residual=1",1
2.76268935203552,"use_ffn_after_attn=0, use_std_residual=1",1
2.77039384841918,"use_ffn_after_attn=0, use_std_residual=1",1
2.77545166015625,"use_ffn_after_attn=0, use_std_residual=1",1
2.83849191665649,"use_ffn_after_attn=0, use_std_residual=1",1
2.83849191665649,"use_ffn_after_attn=0, use_std_residual=1",1
2.85010313987731,"use_ffn_after_attn=0, use_std_residual=1",1
2.9134874343872,"use_ffn_after_attn=0, use_std_residual=1",1
2.93465733528137,"use_ffn_after_attn=0, use_std_residual=1",1
2.93465733528137,"use_ffn_after_attn=0, use_std_residual=1",1
2.95949935913085,"use_ffn_after_attn=0, use_std_residual=1",1
2.98032975196838,"use_ffn_after_attn=0, use_std_residual=1",1
3.01516413688659,"use_ffn_after_attn=0, use_std_residual=1",1
3.05142283439636,"use_ffn_after_attn=0, use_std_residual=1",1
3.06281805038452,"use_ffn_after_attn=0, use_std_residual=1",1
3.17473196983337,"use_ffn_after_attn=0, use_std_residual=1",1
3.17473196983337,"use_ffn_after_attn=0, use_std_residual=1",1
3.17473196983337,"use_ffn_after_attn=0, use_std_residual=1",1
3.17793321609497,"use_ffn_after_attn=0, use_std_residual=1",1
3.17793321609497,"use_ffn_after_attn=0, use_std_residual=1",1
3.22493600845336,"use_ffn_after_attn=0, use_std_residual=1",1
3.23370194435119,"use_ffn_after_attn=0, use_std_residual=1",1
3.26045370101928,"use_ffn_after_attn=0, use_std_residual=1",1
3.2686653137207,"use_ffn_after_attn=0, use_std_residual=1",1
3.27155518531799,"use_ffn_after_attn=0, use_std_residual=1",1
3.28946781158447,"use_ffn_after_attn=0, use_std_residual=1",1
3.3025472164154,"use_ffn_after_attn=0, use_std_residual=1",1
3.3068151473999,"use_ffn_after_attn=0, use_std_residual=1",1
3.3068151473999,"use_ffn_after_attn=0, use_std_residual=1",1
3.30925416946411,"use_ffn_after_attn=0, use_std_residual=1",1
3.30925416946411,"use_ffn_after_attn=0, use_std_residual=1",1
3.3204596042633,"use_ffn_after_attn=0, use_std_residual=1",1
3.32595491409301,"use_ffn_after_attn=0, use_std_residual=1",1
3.34388947486877,"use_ffn_after_attn=0, use_std_residual=1",1
3.35616278648376,"use_ffn_after_attn=0, use_std_residual=1",1
3.37596321105957,"use_ffn_after_attn=0, use_std_residual=1",1
3.37596321105957,"use_ffn_after_attn=0, use_std_residual=1",1
3.40282201766967,"use_ffn_after_attn=0, use_std_residual=1",1
3.40653300285339,"use_ffn_after_attn=0, use_std_residual=1",1
3.40653300285339,"use_ffn_after_attn=0, use_std_residual=1",1
3.44063901901245,"use_ffn_after_attn=0, use_std_residual=1",1
3.44733190536499,"use_ffn_after_attn=0, use_std_residual=1",1
3.49693131446838,"use_ffn_after_attn=0, use_std_residual=1",1
3.49693131446838,"use_ffn_after_attn=0, use_std_residual=1",1
3.53956866264343,"use_ffn_after_attn=0, use_std_residual=1",1
3.5502541065216,"use_ffn_after_attn=0, use_std_residual=1",1
3.60164737701416,"use_ffn_after_attn=0, use_std_residual=1",1
3.82006740570068,"use_ffn_after_attn=0, use_std_residual=1",1
3.84603714942932,"use_ffn_after_attn=0, use_std_residual=1",1
4.00288915634155,"use_ffn_after_attn=0, use_std_residual=1",1
4.02033233642578,"use_ffn_after_attn=0, use_std_residual=1",1
4.02033233642578,"use_ffn_after_attn=0, use_std_residual=1",1
4.02033233642578,"use_ffn_after_attn=0, use_std_residual=1",1
4.02033233642578,"use_ffn_after_attn=0, use_std_residual=1",1
4.21807479858398,"use_ffn_after_attn=0, use_std_residual=1",1
4.37276124954223,"use_ffn_after_attn=0, use_std_residual=1",1
4.38088321685791,"use_ffn_after_attn=0, use_std_residual=1",1
4.40218687057495,"use_ffn_after_attn=0, use_std_residual=1",1
4.41812229156494,"use_ffn_after_attn=0, use_std_residual=1",1
4.48260927200317,"use_ffn_after_attn=0, use_std_residual=1",1
4.48806285858154,"use_ffn_after_attn=0, use_std_residual=1",1
4.60569524765014,"use_ffn_after_attn=0, use_std_residual=1",1
4.74098205566406,"use_ffn_after_attn=0, use_std_residual=1",1
5.09017992019653,"use_ffn_after_attn=0, use_std_residual=1",1
5.13733863830566,"use_ffn_after_attn=0, use_std_residual=1",1
5.91643285751342,"use_ffn_after_attn=0, use_std_residual=1",1
5.91643285751342,"use_ffn_after_attn=0, use_std_residual=1",1
5.95976638793945,"use_ffn_after_attn=0, use_std_residual=1",1
6.12902355194091,"use_ffn_after_attn=0, use_std_residual=1",1
6.12902355194091,"use_ffn_after_attn=0, use_std_residual=1",1
6.24434423446655,"use_ffn_after_attn=0, use_std_residual=1",1
6.25225114822387,"use_ffn_after_attn=0, use_std_residual=1",1
6.29008150100708,"use_ffn_after_attn=0, use_std_residual=1",1
