Name,State,Notes,Created,Runtime,no_mask_diagonal,no_vo_rope,untie_attn_weights,untie_ffn_weights,untie_layerwise_weights,use_ffn_after_attn,use_gated_ffn,use_rms_norm,use_single_message_attn,use_std_residual,eval/loss,eval/accuracy
stellar-sweep-167,finished,-,2024-10-16T13:09:14.000Z,7440,True,False,True,False,True,True,True,False,False,True,3.42254424095153,0.444223289865019
hearty-sweep-140,finished,-,2024-10-16T05:38:55.000Z,7484,True,False,True,False,True,True,True,False,False,True,3.42254424095153,0.444223289865019
helpful-sweep-356,finished,-,2024-10-18T21:36:14.000Z,7271,True,False,True,False,False,True,True,False,False,True,3.4276967048645,0.446419583619309
vague-sweep-361,finished,-,2024-10-18T23:11:41.000Z,6273,True,False,True,False,False,True,False,False,True,True,3.4282329082489,0.440379775795012
dark-sweep-178,finished,-,2024-10-16T16:42:04.000Z,6016,False,False,True,True,False,True,True,False,True,True,3.43511509895324,0.44250743536948
denim-sweep-260,finished,-,2024-10-17T17:16:33.000Z,6078,False,False,True,True,True,True,True,False,True,True,3.45698142051696,0.435506749027682
expert-sweep-79,finished,-,2024-10-15T11:47:48.000Z,6108,False,False,True,True,True,True,True,False,True,True,3.45698142051696,0.435506749027682
rose-sweep-227,finished,-,2024-10-17T07:31:45.000Z,5788,True,False,True,True,False,False,True,False,True,True,3.53956866264343,0.43013040494166
clear-sweep-287,finished,-,2024-10-18T01:46:45.000Z,7028,True,True,True,True,False,False,False,False,False,False,3.58666729927063,0.421757035003431
deft-sweep-264,finished,-,2024-10-17T18:37:45.000Z,7099,False,False,True,True,False,False,True,False,False,False,3.6871211528778,0.410775566231983
hopeful-sweep-282,finished,-,2024-10-18T00:05:18.000Z,6081,False,False,True,False,False,False,False,False,True,False,3.70056653022766,0.40885380919698
dauntless-sweep-27,finished,-,2024-10-14T18:28:17.000Z,7141,False,True,True,True,True,False,False,False,False,False,3.73371696472168,0.401853122855181
vague-sweep-387,finished,-,2024-10-19T06:30:21.000Z,6699,True,True,True,True,False,False,True,False,False,False,3.74390149116516,0.402791123312743
legendary-sweep-70,finished,-,2024-10-15T08:03:19.000Z,6086,True,False,True,False,False,False,False,False,True,False,3.75778746604919,0.4018073667353
major-sweep-281,finished,-,2024-10-17T23:48:34.000Z,7298,False,False,True,False,True,False,True,False,False,False,3.77651786804199,0.402104781514527
dark-sweep-302,finished,-,2024-10-18T05:43:19.000Z,7082,True,False,True,False,False,False,True,False,False,False,3.78005599975585,0.399450926561427
scarlet-sweep-296,finished,-,2024-10-18T04:07:16.000Z,5758,False,False,True,False,False,False,True,False,True,False,3.82987165451049,0.393159460077785
frosty-sweep-268,finished,-,2024-10-17T19:49:38.000Z,6146,True,False,True,False,True,False,False,False,True,False,3.83777070045471,0.391374971402425
fanciful-sweep-141,finished,-,2024-10-16T05:39:05.000Z,6832,False,True,True,False,True,False,True,False,False,False,3.8436005115509,0.391718142301532
legendary-sweep-244,finished,-,2024-10-17T12:17:04.000Z,7260,True,False,True,False,True,False,True,False,False,False,3.84764647483825,0.391946922900938
robust-sweep-104,finished,-,2024-10-15T18:52:03.000Z,5882,False,False,True,True,True,False,True,False,True,False,3.86181688308715,0.386936627773964
bright-sweep-18,finished,-,2024-10-14T15:11:23.000Z,7258,False,True,True,False,False,True,False,False,False,False,3.8714907169342,0.384557309540151
