Name,State,Notes,Created,Runtime,no_mask_diagonal,no_vo_rope,untie_attn_weights,untie_ffn_weights,untie_layerwise_weights,use_ffn_after_attn,use_gated_ffn,use_rms_norm,use_single_message_attn,use_std_residual,eval/loss,eval/accuracy
atomic-sweep-288,finished,-,2024-10-18T01:50:20.000Z,6854,False,True,True,False,True,False,True,True,False,True,2.32331991195678,0.593113703957904
bright-sweep-97,finished,-,2024-10-15T16:52:59.000Z,6770,True,True,True,True,True,False,True,True,False,True,2.44378781318664,0.578746282315259
breezy-sweep-25,finished,-,2024-10-14T17:40:54.000Z,6793,True,True,True,True,True,False,True,True,False,True,2.44378781318664,0.578746282315259
p2t-1-2-3-4-5-7-8-9,finished,-,2024-10-14T02:45:03.000Z,7335,True,False,True,True,True,True,True,True,False,True,2.52433586120605,0.559894760924273
p2t-1-2-3-4-5-6-7-8-9,finished,-,2024-10-14T06:07:21.000Z,5951,True,False,True,True,True,True,True,True,True,True,2.54660511016845,0.557767101349805
good-sweep-26,finished,-,2024-10-14T18:24:29.000Z,6660,False,True,True,True,False,False,True,True,False,True,2.58256006240844,0.559345687485701
eager-sweep-329,finished,-,2024-10-18T14:16:50.000Z,5656,True,True,True,True,True,False,True,True,True,True,2.63724255561828,0.545641729581331
proud-sweep-161,finished,-,2024-10-16T11:34:52.000Z,5653,True,True,True,True,True,False,True,True,True,True,2.63724255561828,0.545641729581331
warm-sweep-348,finished,-,2024-10-18T18:56:31.000Z,7104,False,False,True,True,False,False,True,True,False,True,2.65901112556457,0.541523678792038
p2t-llama,finished,-,2024-10-13T12:26:05.000Z,5845,True,True,True,True,True,True,True,True,True,True,2.66417837142944,0.541523678792038
visionary-sweep-343,finished,-,2024-10-18T17:39:22.000Z,6658,False,True,True,False,False,False,True,True,False,True,2.66898441314697,0.538000457561198
absurd-sweep-24,finished,-,2024-10-14T17:12:29.000Z,6969,False,True,True,False,True,True,True,True,False,True,2.68622779846191,0.539075726378403
dandy-sweep-263,finished,-,2024-10-17T18:28:19.000Z,5853,False,False,True,False,True,False,True,True,True,True,2.68884205818176,0.52699611072981
faithful-sweep-98,finished,-,2024-10-15T17:15:03.000Z,5811,False,True,True,False,True,True,True,True,True,True,2.7108826637268,0.536215968885838
glamorous-sweep-190,finished,-,2024-10-16T20:11:30.000Z,5815,False,True,True,False,True,True,True,True,True,True,2.7108826637268,0.536215968885838
morning-sweep-382,finished,-,2024-10-19T05:03:52.000Z,6013,False,False,True,False,True,True,True,True,True,True,2.72781538963317,0.529261038663921
electric-sweep-200,finished,-,2024-10-16T23:27:39.000Z,5507,False,True,True,True,False,False,True,True,True,True,2.73682284355163,0.521619766643788
stellar-sweep-211,finished,-,2024-10-17T02:40:22.000Z,5540,False,True,True,True,False,False,True,True,True,True,2.73682284355163,0.521619766643788
stilted-sweep-208,finished,-,2024-10-17T01:27:40.000Z,6074,False,False,True,True,True,False,False,True,True,True,2.76268935203552,0.535735529627087
flowing-sweep-91,finished,-,2024-10-15T15:05:14.000Z,5735,False,False,True,True,False,False,True,True,True,True,2.77039384841918,0.519583619309082
celestial-sweep-372,finished,-,2024-10-19T02:31:03.000Z,7478,True,False,True,True,True,False,False,True,False,True,2.77545166015625,0.529352550903683
autumn-sweep-173,finished,-,2024-10-16T15:13:24.000Z,6321,False,False,True,True,True,True,False,True,True,True,2.79407882690429,0.530748112560054
cosmic-sweep-117,finished,-,2024-10-15T22:34:43.000Z,6319,True,False,True,False,True,True,False,True,True,True,2.8022301197052,0.530610844200411
devoted-sweep-377,finished,-,2024-10-19T03:08:12.000Z,7640,True,False,True,False,True,True,False,True,False,True,2.83656644821167,0.519972546328071
laced-sweep-118,finished,-,2024-10-15T22:50:09.000Z,5511,True,True,True,False,False,False,True,True,True,True,2.83849191665649,0.509951956074124
cool-sweep-276,finished,-,2024-10-17T22:32:51.000Z,5539,True,True,True,False,False,False,True,True,True,True,2.83849191665649,0.509951956074124
noble-sweep-248,finished,-,2024-10-17T13:40:02.000Z,6283,False,False,True,False,True,True,False,True,True,True,2.84239101409912,0.525326012354152
noble-sweep-213,finished,-,2024-10-17T03:09:01.000Z,5507,False,True,True,False,False,False,True,True,True,True,2.85010313987731,0.50754975978037
breezy-sweep-320,finished,-,2024-10-18T11:18:11.000Z,7059,True,False,True,False,False,False,True,True,False,False,2.89585161209106,0.500503317318691
playful-sweep-160,finished,-,2024-10-16T11:05:27.000Z,6088,True,True,True,True,False,True,False,True,True,False,2.91567254066467,0.505284831846259
grateful-sweep-156,finished,-,2024-10-16T09:56:15.000Z,5911,True,True,True,True,True,False,False,True,True,True,2.93465733528137,0.511004346831388
